希腊语	英文	现中文	建议中文	类型	原因	ids
η ώρα είναι τέσσερις		四点整 ((it is) four o'clock)	现在四点整	截断	夹杂英文残留	A1:900412
η ώρα είναι τεσσερισήμισι		四点半 ((it is) half past	现在四点半	截断	夹杂英文残留	A1:900413
καλή διασκέδαση	have a nice time	玩得开心，享受 (have a nice time,	玩得开心！	截断	夹杂英文残留	A1:900482
καναδικός, -ή, -ό	Canadian	加拿大人	加拿大的	词性	形容词被译成“加拿大人”	A1:900490
καπάκι, το		帽子（有舌帽）	盖子	错义	καπάκι 是盖子，不是帽子	A1:900498
κλειδώνω το παράθυρο		关窗户	锁上窗户	错义	κλειδώνω 是锁，不是关	A1:900556
κοντάρι, το		矛，枪	长杆，杆子	错义	κοντάρι 是杆子（如撑竿），不是矛枪	A1:900579
κρεoπωλείο, το	the butcher's	屠夫的	肉店	错义	the butcher's 被译成“屠夫的”	A1:900623
μια φορά και έναν καιρό		从前，很久以前 (once upon	从前，很久以前	截断	夹杂英文残留	A1:900738
μπριζόλα, η	stake	赌注	牛排，排骨	错义	英文 stake 是 steak 的拼错，被译成“赌注”	A1:900774,A2:950990
όλος, -η, -ο	the whole	整体	整个的，全部的	词性	形容词被译成名词“整体”	A1:900839
Ολυμπιακοί αγώνες, οι	Olympic	奥林匹克运动会 (Olympic	奥林匹克运动会	截断	夹杂英文残留	A1:900840
πάγκος ποδοσφαίρου, ο	football	足球替补席 (football	足球替补席	截断	夹杂英文残留	A1:900858
παιδική χαρά, η	playground	操场	儿童游乐场	错义	playground 被译成“操场”，παιδική χαρά 是儿童游乐场	A1:900864
πάρα πολύ	too much	太多了	非常，很多	错义	πάρα πολύ 是“非常”，不含“太多了”的抱怨义	A1:900886
πόσο κάνει/κάνουν…;	how much	……多少钱？ (how much	……多少钱？	截断	夹杂英文残留	A1:900986
πρόβατο, το	lamb	羊肉	绵羊	错义	πρόβατο 是绵羊，不是羊肉	A1:901001
πρωί-πρωί	early in the morning	大清早，一大清早 (early in the morning, ﬁrst	大清早	截断	夹杂英文残留	A1:901013
ρέστα, τα	change	改变	找零，零钱	错义	change 被译成“改变”	A1:901025
σκωτσέζικος, -η, -ο	Scotish	苏格兰人	苏格兰的	词性	形容词被译成“苏格兰人”	A1:901075
χαμηλός, -ή, -ό	short, low	短、低	低的，矮的	错义	short此处指高度矮，不是长度短	A1:901251
χιονοπόλεμος, ο	snowball	滚雪球	打雪仗	错义	χιονοπόλεμος是雪仗，不是滚雪球	A1:901270
αγαπημέν-ος, -η, -ο	favorite	最喜欢的，亲爱的 (favorite,	最喜欢的，亲爱的	截断	残留半截英文括号	A2:950005
Άγγλος, ο / Αγγλίδα, η	English(man/woman)	英国人（男，女）)	英国人（男/女）	截断	括号不配对	A2:950012
αγέλαστο		没有笑容，严肃，严厉 (without a smile,	没有笑容的，严肃的	截断	残留半截英文括号	A2:950014
άγνωστ-ος, -η, -ο [adj]	unknown	未知的，不熟悉的 (unknown,	未知的，陌生的	截断	残留半截英文括号	A2:950019
άγρι-ος, -α, -ο [adj]	wild	荒野	野生的，野蛮的	词性	形容词译成名词「荒野」	A2:950024
αδελφή, η		姐姐	姐妹（姐姐或妹妹）	错义	αδελφή不分长幼，只译姐姐会误导	A2:950030
αδιάφορος, -η, -ο		冷漠的，冷漠的 (indiﬀerent,	冷漠的，无所谓的	截断	残留半截英文括号	A2:950034
αδύνατ-ος, -η, -ο	thin, slim	薄，苗条	瘦的，苗条的	错义	指人瘦，不是物体「薄」	A2:950038
άλλ-ος, -η, -ο	other, another, else	其他，另一个，其他 (other, another,	其他的，另一个	截断	残留半截英文括号	A2:950077
άλλοτε – άλλοτε		有时——有时 (sometimes –	有时……有时……	截断	残留半截英文括号	A2:950082
ανακατεμέν-ος, -η, -ο	mixed, blended	混合的，混合的 (mixed,	混合的，搅拌过的	截断	残留半截英文括号	A2:950094
αξιόλογος, -η, -ο		非凡的，值得的 (remarkable,	值得注意的，出色的	截断	残留半截英文括号	A2:950139
αξιόπιστος, -η, -ο		值得信赖的，可靠的 (trustworthy,	值得信赖的，可靠的	截断	残留半截英文括号	A2:950140
αξιωματικός, ο		官	军官	错义	单字「官」不成词，αξιωματικός指军官	A2:950141
αξιωματούχος, ο		官方的	官员	词性	名词译成形容词「官方的」	A2:950142
Aπό πού είσαι/είστε?	Where	你从哪来？ (Where are you (στη) συνέχεια — 之后，在那之后 (afterwards, after	你从哪里来？	乱码	几条词条串在一起，含半截英文	A2:950153
απογευματιν-ός, -ή, -ό	afternoon	下午、晚上 (afternoon,	下午的	截断	残留半截英文，且「晚上」不对	A2:950156
αποδίδω		产量，渲染	归还；表达；产生效果	错义	「产量、渲染」是yield/render的机翻	A2:950160
απομακρύνω		移除、距离	移开，使远离	词性	「距离」是名词，原词是动词	A2:950170
αρχαιότητα, η	antiquity, ancient	古代，远古时代 (antiquity, ancient	古代，古典时期	截断	残留半截英文括号	A2:950192
ασχολία, η	occupation, diversion	职业、消遣、爱好 (occupation, diversion,	工作，消遣，爱好	截断	残留半截英文括号	A2:950209
αυτ-ός, -ή, -ό [for persons]	he, she, it	他、她、它 (he, she,	他，她，它	截断	残留半截英文括号	A2:950217
αφετηρία λεωφορείου, η	bus	巴士起点 (bus starting	公交起点站	截断	残留半截英文括号	A2:950222
βιβλιάριο τράπεζας, το	bankbook	存折，存折 (bankbook,	存折	截断	残留半截英文括号	A2:950247
βραστ-ός, -ή, -ό	boiled	煮沸	煮的，水煮的	词性	形容词译成动词「煮沸」	A2:950265
βρεφονηπιακός σταθμός, ο	nursery	苗圃	托儿所	错义	nursery译成植物苗圃，应为托儿所	A2:950266
γαλλικ-ός, -ή, -ό	French	法语	法国的，法语的	错义	形容词是「法国的」，不是「法语」这门语言	A2:950279
γεμίζω	to fill	填补	装满，填满	错义	「填补」是填空缺，γεμίζω是装满	A2:950290
γερμανικ-ός, -ή, -ό	German	德语	德国的，德语的	错义	形容词是「德国的」，不是「德语」	A2:950298
γραμματοκιβώτιο, το	mailbox	邮箱, 信箱, 信箱 (mailbox,	邮箱，信箱	截断	残留半截英文括号	A2:950332
δημόσι-ος, -α, -ο	public	民众	公共的，公立的	词性	形容词译成名词「民众」	A2:950382
διαδοχικ-ός, -ή, -ό	successive	连续的，连续的 (successive,	连续的，接连的	截断	残留半截英文括号	A2:950394
διάστημα, το [temporal]	period	空间	一段时间，期间	错义	[temporal]指时间段，译成「空间」完全反了	A2:950408
διπλαν-ός, -ή, -ό	nearby	附近	旁边的，隔壁的	词性	形容词，指紧挨着的	A2:950428
δρομολόγιο, το	bus/train schedule	巴士/火车时刻表 (bus/train	（公交/火车）班次，路线	截断	残留半截英文括号	A2:950438
εισιτήριο με επιστροφή	return	回程票	往返票	错义	με επιστροφή是往返票，「回程票」只指返程	A2:950477
εκπτώσεις, οι	sales	销售量	打折，减价	错义	sales指打折季，不是「销售量」	A2:950489
ελαφρύς, -ιά, -ύ	light	光	轻的	错义	light指重量轻，不是「光」	A2:950494
ελληνικ-ός, -ή, -ό	Greek, Hellenic	希腊语、希腊语	希腊的，希腊语的	错义	形容词是「希腊的」，且原文重复	A2:950502
εμπορικό κέντρο, το	shopping	购物中心/中心, 购物中心	购物中心	乱码	「购物中心/中心, 购物中心」重复错乱	A2:950510
επικίνδυν-ος, -η, -ο	dangerous	危险的，有风险的 (dangerous,	危险的	截断	残留半截英文括号	A2:950540
έργο θεατρικό, το	play	玩	戏剧，话剧	错义	play译成「玩」，应为剧本/话剧	A2:950556
Ευρωπαίος, ο / Ευρωπαία, η	European	欧洲的	欧洲人	词性	名词（人）译成形容词「欧洲的」	A2:950578
η ώρα είναι τέσσερις	it is four o’	现在是四点钟 (it is four o’	现在是四点钟	截断	残留半截英文括号	A2:950613
η ώρα είναι τεσσερισήμισι	it is	现在是四点半 (it is half	现在是四点半	截断	残留半截英文括号	A2:950614
ηλεκτροπληξία, η	electrocution	触电、触电 (electrocution, electric	触电	截断	残留半截英文括号	A2:950618
ηλικιωμένoς, ο / ηλικωμένη, η		年长的, 年长的,	老人，长者	词性	名词（人）译成形容词，且标点残缺	A2:950620
ήσυχ-ος, -η, -ο	silent, quiet, calm	沉默的、安静的、平静的 (silent,	安静的，平静的	截断	残留半截英文括号	A2:950626
θεατρικό έργο, το	play	玩	戏剧，话剧	错义	play译成「玩」，应为剧本/话剧	A2:950635
Θεσσαλονίκης)		塞萨洛尼基供水和污水处理公司	（并入ΕΥΑΘ词条）	截断	希腊语词条本身是残片「Θεσσαλονίκης)」，应与第242行合并或删除	A2:950643
ίδρυμα, το	institute/institution	研究所/机构、基金会 (institute/	机构，基金会	截断	残留半截英文括号	A2:950654
κάγκελο, το	bar, rail	酒吧、铁路	栏杆，铁栏	错义	bar, rail被译成「酒吧、铁路」	A2:950664
καλεσμέν-ος, -η, -ο	invited	邀请	被邀请的	词性	形容词/分词译成动词「邀请」	A2:950688
Kαλή διασκέδαση!	Have fun! /	玩得开心！ (Have fun! / Enjoy!	玩得开心！	截断	残留半截英文括号	A2:950690
Καλή όρεξη!	Bon appetite! / Enjoy	祝您好胃口！ (Bon appetite! / Enjoy your	祝你好胃口！	截断	残留半截英文括号	A2:950692
καλώ]		邀请	邀请	截断	希腊语词条残片「καλώ]」，括号不配对	A2:950702
κανονικ-ός, -ή, -ό	normal, regular	正常的，有规律的 (normal,	正常的，规律的	截断	残留半截英文括号	A2:950708
καρναβάλι, το [see also Απόκριες]		狂欢节/万圣	狂欢节	错义	「万圣」半截且错，Απόκριες是狂欢节不是万圣节	A2:950719
κατάλληλ-ος, -η, -ο	appropriate	适当的，合适的 (appropriate,	合适的，恰当的	截断	残留半截英文括号	A2:950728
κατανόηση γραπτού λόγου, η		阅读理解 (reading	阅读理解	截断	残留半截英文括号	A2:950729
καταπληκτικ-ός, -ή, -ό	amazing	惊人的，精彩的 (amazing,	惊人的，精彩的	截断	残留半截英文括号	A2:950731
κελί, το	cell	细胞	小房间，牢房	错义	cell译成生物「细胞」	A2:950751
κεντρικό δελτίο ειδήσεων	news	消息	主要新闻节目（晚间新闻）	错义	只译成「消息」，丢失节目含义	A2:950754
κλειστ-ός, ή, -ό [for eyes, windows etc]		关闭，关	关着的，闭着的	词性	形容词译成动词「关闭」，且残缺	A2:950775
κλέφτης, ο / κλέφτρα, η	thief, robber	小偷，强盗 (thief,	小偷，强盗	截断	残留半截英文括号	A2:950776
κομμάτι, το [see also μέρος]	part	片	一块，一部分	错义	单字「片」含义不清，应为块/部分	A2:950788
κουζίνα ηλεκτρική, η [kitchen appliance]		电	电炉，电灶	截断	只剩一个「电」字	A2:950805
κουραστικ-ός, -ή, -ό	tiring	累	累人的，令人疲劳的	错义	tiring是让人累，「累」是自己累	A2:950812
Κρητικ-ός, -ιά, -ό	Cretan / from Crete	克里特岛/来自克里特岛 (Cretan /	克里特的，克里特人	截断	残留半截英文括号，且「岛」不对	A2:950823
κωμικ-ός, -ή, -ό	comic	漫画	喜剧的，滑稽的	错义	comic译成「漫画」	A2:950837
λειτουργία, η	service, operation	服务、操作、功能 (service, operation,	服务，运行，功能	截断	残留半截英文括号	A2:950848
λειτουργώ [for public services]	to	营业，开着 (to	营业，开放	截断	残留半截英文括号	A2:950849
λεκές, ο	stain	弄脏	污渍	词性	名词译成动词「弄脏」	A2:950850
λίγ-ος, -η, -ο [non countable]	some	一些，一点 (some,	一些，一点	截断	残留半截英文括号	A2:950865
μαζεύω από κάτω	to pick	挑选	捡起来	错义	pick up译成「挑选」	A2:950887
μακάρι	if only, I wish	如果只是，我希望	但愿	错义	if only被直译成「如果只是」	A2:950895
μάρκα αυτοκινήτου, η	model	模型	汽车品牌	错义	model/make译成「模型」	A2:950910
μεγάλ-ος, -η, -ο [age]	grown up	大人，成年人 (grown up,	大人，成年人	截断	残留半截英文括号	A2:950919
μειωμέν-ος, -η, -ο	reduced	减少	减少的，优惠的	词性	分词/形容词译成动词	A2:950923
μένω σπίτι [to not go out]	to	待在室内 (to stay	待在家里	截断	残留半截英文括号	A2:950928
μετακομίζω	to move	移动	搬家	错义	to move(house)译成「移动」	A2:950938
μοναδικ-ός, -ή, -ό [see also μόνος]		独特的，独	唯一的，独特的	截断	末尾「独」字残缺	A2:950962
μου πηγαίνει [for a cloth]	something	有些东西看起来很适合	（衣服）适合我	错义	译文生硬错乱，应为「我穿着合适」	A2:950968
ντοκιμαντέρ, το	documentary	记录	纪录片	错义	documentary译成「记录」	A2:951025
νυχτεριν-ός, -ή, -ό	overnight	过夜	夜间的，晚上的	错义	译成「过夜」不对，是夜里的	A2:951032
ξεπερνάω [to go beyond]	to exceed	克服 (to	超过，超越	截断	残留半截英文括号，且[to go beyond]应译超过	A2:951050
ξεχωριστ-ός, -ή, -ό	distinct	清楚的	独特的，单独的	错义	distinct译成「清楚的」	A2:951054
ο, η, το [article],	the	无论什么	（定冠词）	错义	冠词译成「无论什么」完全错误	A2:951061
οικογενειακή κατάσταση, η	marital	婚姻状况 (marital	婚姻状况	截断	残留半截英文括号	A2:951070
ομιλητής, ο / ομιλήτρια, η	speaker	演讲者、讲师 (speaker,	演讲者，讲者	截断	残留半截英文括号	A2:951078
όποι-ος, -α, -ο	whoever	谁	无论谁，谁……就	错义	关系代词，不是疑问词「谁」	A2:951088
παθαίνω	to suffer from, something	受苦，有事发生在我身上 (to suﬀer from,	遭受，出事	截断	残留半截英文括号	A2:951104
παίρνω συνέντευξη	to take an	接受采访，接受采访 (to take	采访（某人）	错义	παίρνω συνέντευξη是去采访别人，译成接受采访反了；并残留英文	A2:951110
παραγωγή προφορικού λόγου		请讲	口语表达	错义	译成「请讲」完全错误	A2:951130
Παρακαλώ! [in response to “Thank you!”]		不客	不客气！	截断	「不客」残缺	A2:951135
πεντάγραμμο, το	pentagram	五角星	五线谱	错义	πεντάγραμμο通常指五线谱	A2:951163
περνάω καλά	to have a good time	玩得开心，过得愉快 (to have a good	玩得开心，过得愉快	截断	残留半截英文括号	A2:951177
πηγαίνω διακοπές	to go on	去度假/休假 (to go on holiday/	去度假	截断	残留半截英文括号	A2:951186
Πλατεία Συντάγματος, η [Athens]		宪法广场/宪	宪法广场	截断	「宪法广场/宪」残缺	A2:951202
ποντιακ-ός, -ή, -ό	Pontic	桥体	本都的（黑海希腊人的）	乱码	Pontic被译成「桥体」	A2:951236
προβολή, η [movie]	screening	筛选	放映	错义	screening译成「筛选」	A2:951264
προετοιμάζω [see also ετοιμάζω]	to	准备 (to	准备	截断	残留半截英文括号	A2:951267
προηγούμεν-ος, -η, -o	previous, last	上一个、最后一个 (previous,	上一个，之前的	截断	残留半截英文括号，且「最后一个」不对	A2:951268
προλαβαίνω	to be in time for, to	及时赶上，赶上 (to be in time for, to	赶得上，来得及	截断	残留英文括号	A2:951271
προσχολικ-ός, -ή, -ό	preschool	学前班, 托儿所 (preschool,	学前的	截断	残留半截英文括号	A2:951279
προσωπικ-ός, -ή, -ό	personal, private	个人的，私人的 (personal,	个人的，私人的	截断	残留半截英文括号	A2:951280
Πρωτεύουσας)		雅典供水和污水处理公司 (Athens	（并入EΥΔΑΠ词条）	截断	希腊语词条残片「Πρωτεύουσας)」，中文也残留英文	A2:951292
Πύργος του Άιφελ, ο [monument in Paris]		埃	埃菲尔铁塔	截断	只剩一个「埃」字	A2:951296
πωλητής, o / πωλήτρια, η	seller	卖家, 推销员/女售货	售货员，卖家	截断	「女售货」残缺	A2:951299
Πώς σε/σας λένε;	What’s your name?	你叫什么名字？ (What’s your	你叫什么名字？	截断	残留半截英文括号	A2:951300
ράτσα ζώου, η	pedigree	谱系	品种（动物）	错义	ράτσα是品种，「谱系」不对	A2:951306
σβήνω τη φωτιά	to put out	拿出来	灭火	错义	put out(fire)译成「拿出来」	A2:951330
σπάζω	to smash, to brake	粉碎、制动	打碎，打破	错义	brake(break笔误)被译成「制动」	A2:951373
στην τηλεόραση	on the	在电视上/在电视上 (on the	在电视上	截断	残留半截英文括号，且重复	A2:951389
στρώνω	to lay, to set, to make	放置、放置、制作	铺（床），摆（桌）	错义	「放置、放置、制作」机翻	A2:951396
σύγχρον-ος, -η, -ο	modern	现代的，当代的 (modern,	现代的，当代的	截断	残留半截英文括号	A2:951404
συμπαθητικ-ός, -ή, -ό	nice, charming	漂亮、迷人	讨人喜欢的，可爱的	错义	nice指人讨喜，不是「漂亮」	A2:951411
συστημέν-ος, -η, -ο	introduced	介绍、推荐 (introduced,	被介绍的，被推荐的	截断	残留半截英文括号	A2:951436
σχολικ-ός, -ή, -ό	schooling	学校教育	学校的	词性	形容词译成名词「学校教育」	A2:951447
TΕΙ (Τεχνολογικό Εκπαιδευτικό ‘Ιδρυμα), τo		科技	技术教育学院	截断	只剩「科技」	A2:951468
τμήμα αστυνομικό, το	police	警察局/派出所 (police	警察局，派出所	截断	残留半截英文括号	A2:951495
τονισμέν-ος, -η, -ο	stressed	强调	带重音的	错义	课本里指标重音，不是「强调」	A2:951497
τόσ-ος, -η, -ο [non countable]	so/	如此/那么多 (so/	这么多的，如此	截断	残留半截英文括号	A2:951501
τρία πόδια Χαλκιδικής, τα	the three	哈尔基迪基半岛的三	哈尔基迪基的三个半岛	截断	「的三」残缺	A2:951514
τρυφερ-ός, -ή, -ό	tender, gentle, soft	温柔的，温和的，柔软的 (tender,	温柔的，柔软的	截断	残留半截英文括号	A2:951523
υπέροχ-ος, -η, -ο	marvellous	美妙的，棒极了的 (marvellous,	美妙的，棒极了	截断	残留半截英文括号	A2:951536
υπεύθυν-ος, -η, -ο	responsible	负责人、经理 (responsible,	负责的；负责人	截断	残留半截英文括号	A2:951538
υπόλοιπ-ος, -η, -ο	remaining	剩余的，其余的 (remaining, rest	剩余的，其余的	截断	残留半截英文括号	A2:951544
φέιγ βολάν, το	flysheet, leaflet	传单、传单、讲义 (ﬂysheet, leaﬂet,	传单	截断	残留半截英文括号，且重复	A2:951562
φιλοξενώ	to host, to offer hospitality	主持，招待	招待，接待（客人）	错义	host译成「主持」	A2:951574
χαλάω, -ώ	to break down	分解	坏掉，出故障	错义	break down译成「分解」	A2:951615
χαμηλ-ός, -ή, -ό	short, low	短、低	低的，矮的	错义	short此处指高度矮，不是长度短	A2:951618
χάπι, το	pill	丸	药片，药丸	错义	单字「丸」不成词	A2:951622
χοντρ-ός, -ή, -ό	fat, thick	肥厚的	胖的，粗的	错义	「肥厚的」不是常用义，应为胖/粗	A2:951640
Χρόνια πολλά [Christmas]!	Merry	圣诞快乐！ (Merry	圣诞快乐！	截断	残留半截英文括号	A2:951652
χρωματιστ-ός, -ή, -ό	colorful/	色彩缤纷/色彩缤纷 (colorful/	彩色的，多彩的	截断	残留半截英文括号，且重复	A2:951655
ωστόσο	however	然而 (however) (στις 10) ακριβώς — （十点）整 ((at ten o’clock) sharp) (μου) αρέσει 动 — 喜欢	然而	乱码	几条词条串在一起	A2:951682
